Date,Subway_Total,Percent_Subway_PrePandemic,Buses_Total,Percent_Buses_PrePandemic,LIRR_Total,Percent_LIRR_PrePandemic,MetroNorth_Total,Percent_MetroNorth_PrePandemic,AccessARide_Total,Percent_AccessARide_PrePandemic,Bridges_Tunnels_Total,Percent_Bridges_Tunnels_PrePandemic
2021-06-17,2557486,0.45,1281552,0.63,121600,0.42,98400,0.38,23292,0.78,973485,0.97
2021-06-16,2524189,0.44,1288040,0.59,119200,0.42,94700,0.37,24788,0.79,945955,0.98
2021-06-15,2474710,0.44,1277203,0.61,117600,0.41,96700,0.37,23460,0.78,917933,0.99
2021-06-14,2227391,0.41,1176722,0.54,115300,0.40,91100,0.34,21568,0.79,869235,0.92
2021-06-13,1379959,0.59,647385,0.62,59200,0.63,51700,0.64,12047,0.65,887098,0.95
2021-06-12,1775538,0.56,849178,0.60,68200,0.60,61500,0.64,14450,0.81,919318,0.91
2021-06-11,2472629,0.43,1221484,0.55,118300,0.39,94600,0.35,23324,0.81,968763,0.93
2021-06-10,2478619,0.43,1276901,0.59,113200,0.39,91300,0.35,23498,0.80,951274,0.98
2021-06-09,2390612,0.41,1259005,0.54,107900,0.38,90600,0.35,23868,0.75,908563,0.93
2021-06-08,2270152,0.39,1175335,0.53,108300,0.38,88000,0.34,22948,0.78,878376,0.92
2021-06-07,2227613,0.42,1200737,0.59,112100,0.39,89400,0.34,21511,0.83,897208,1.02
2021-06-06,1363344,0.53,654780,0.60,61900,0.66,51500,0.64,12514,0.70,921829,1.03
2021-06-05,1792204,0.55,874545,0.62,72800,0.65,62700,0.65,14636,0.82,946758,0.98
2021-06-04,2314340,0.41,1160335,0.52,104600,0.35,88900,0.33,22743,0.79,930743,0.90
2021-06-03,2238336,0.39,1143159,0.53,102800,0.36,84800,0.33,23026,0.77,895524,0.89
2021-06-02,2348517,0.41,1249102,0.55,112500,0.39,90800,0.35,24325,0.79,910385,0.94
2021-06-01,2263536,0.41,1230127,0.58,114800,0.40,94900,0.37,22308,0.75,907698,0.95
2021-05-31,1391302,0.53,702801,0.61,102300,0.32,63000,0.22,10380,0.96,756187,0.79
2021-05-30,1066132,0.42,484864,0.45,43400,0.45,47200,0.45,10028,0.56,664029,0.74
2021-05-29,1371467,0.43,648192,0.46,54800,0.46,71700,0.48,11734,0.68,744860,0.77
2021-05-28,2236646,0.39,1135369,0.51,112800,0.35,89300,0.31,21520,0.77,931760,0.89
2021-05-27,2356638,0.41,1246269,0.57,117300,0.37,90600,0.32,23450,0.82,970920,1.00
2021-05-26,2280311,0.40,1241052,0.56,114500,0.36,86700,0.30,23594,0.80,921084,0.97
2021-05-25,2275628,0.42,1253998,0.58,110900,0.35,85900,0.30,22854,0.81,902577,0.98
2021-05-24,2123129,0.38,1192453,0.54,105500,0.33,80800,0.28,21563,0.76,869940,1.11
2021-05-23,1270286,0.50,645466,0.61,58000,0.59,63700,0.61,11765,0.64,885740,1.01
